id,lead_time,arrival_week,duration,prev_cancel,booking_changes,waiting_period,per_Day_price,parking,special_request,segment,deposit,cust_type,is_cancelled
240,114,7,4,0,0,0,78,0,0,Groups,No Deposit     ,Transient-Party,0
241,33,13,5,0,0,0,157.14,1,1,Online TA,No Deposit     ,Transient,0
242,13,45,1,0,0,0,112,0,2,Online TA,No Deposit     ,Transient,0
243,414,28,2,0,0,0,122.4,0,1,Groups,No Deposit     ,Transient-Party,0
244,40,33,2,0,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,1
245,67,7,0,0,0,0,80,0,0,Groups,Non Refund     ,Transient,1
246,11,39,2,0,0,0,98,0,0,Groups,No Deposit     ,Transient-Party,0
247,42,9,4,0,0,0,100.3,0,0,Online TA,No Deposit     ,Transient,0
248,25,30,3,0,0,0,152.1,0,1,Online TA,No Deposit     ,Transient,1
249,44,26,1,0,0,0,87.31,0,1,Online TA,No Deposit     ,Transient,0
250,0,20,1,0,4,0,0,0,0,Direct,No Deposit     ,Transient,0
251,34,10,2,0,0,0,100.3,0,1,Online TA,No Deposit     ,Transient,0
252,73,14,3,0,0,0,105,0,0,Groups,Non Refund     ,Transient,1
253,59,21,1,0,0,33,128,0,0,Offline TA/TO,Non Refund     ,Transient,1
254,65,52,0,0,1,0,87,1,0,Corporate,No Deposit     ,Transient,0
255,35,19,1,0,1,0,140,0,0,Groups,No Deposit     ,Transient-Party,0
256,78,14,1,0,1,0,162,0,1,Online TA,No Deposit     ,Transient,1
257,55,50,3,0,0,0,86.4,0,2,Online TA,No Deposit     ,Transient,1
258,51,46,3,0,0,0,60,0,0,Offline TA/TO,No Deposit     ,Transient,0
259,277,46,2,0,0,0,100,0,0,Groups,Non Refund     ,Transient,1
260,41,39,1,0,0,0,149.4,0,1,Online TA,No Deposit     ,Transient,1
261,1,18,2,0,0,0,211,0,1,Online TA,No Deposit     ,Transient,0
262,587,7,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
263,21,23,4,0,0,0,175.95,0,2,Online TA,No Deposit     ,Transient,0
264,50,4,3,0,0,0,60,0,0,Offline TA/TO,No Deposit     ,Transient,0
265,1,5,3,6,0,0,65,0,1,Corporate,No Deposit     ,Transient,0
266,58,2,3,0,0,0,57.59,0,1,Online TA,No Deposit     ,Transient,0
267,159,22,3,0,13,0,119.85,0,1,Online TA,No Deposit     ,Transient,0
268,316,21,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
269,0,1,0,0,0,0,0,0,2,Online TA,No Deposit     ,Transient,0
270,22,38,2,0,0,0,139,0,2,Online TA,No Deposit     ,Transient,0
271,6,3,2,0,0,0,69.5,0,3,Online TA,No Deposit     ,Transient-Party,0
272,46,14,3,0,0,0,80.75,0,0,Offline TA/TO,No Deposit     ,Transient,0
273,17,3,15,0,2,0,142.8,0,0,Online TA,No Deposit     ,Transient,1
274,12,39,1,0,0,0,142.33,0,1,Online TA,No Deposit     ,Transient,0
275,81,18,2,0,0,0,162,0,0,Online TA,No Deposit     ,Transient,1
276,75,13,2,0,0,0,92.4,0,1,Online TA,No Deposit     ,Transient,0
277,302,33,2,1,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,1
278,28,51,1,0,0,0,65,0,0,Corporate,No Deposit     ,Transient-Party,0
279,138,30,1,0,0,0,60,0,0,Groups,No Deposit     ,Transient-Party,0
280,65,27,4,0,0,0,68,0,1,Online TA,No Deposit     ,Transient,1
281,241,23,2,0,0,0,116.1,0,1,Offline TA/TO,No Deposit     ,Transient,0
282,59,6,2,0,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,0
283,6,43,1,0,0,0,95,0,0,Corporate,No Deposit     ,Transient,0
284,101,18,2,0,0,0,85,0,0,Offline TA/TO,No Deposit     ,Transient,0
285,54,21,2,0,0,0,143.1,0,2,Online TA,No Deposit     ,Transient,0
286,0,3,1,0,0,0,72.8,0,0,Online TA,No Deposit     ,Transient,0
287,118,53,4,0,0,0,110.8,0,2,Online TA,No Deposit     ,Transient,0
288,19,26,2,0,1,0,100,0,0,Corporate,No Deposit     ,Transient-Party,0
289,18,25,3,0,1,0,166,0,2,Online TA,No Deposit     ,Transient,0
290,92,11,3,0,0,0,85,0,0,Groups,Non Refund     ,Transient,1
291,129,25,1,0,0,0,130,0,0,Groups,Non Refund     ,Transient,1
292,137,5,2,1,0,45,70,0,0,Groups,Non Refund     ,Transient,1
293,197,23,2,1,0,25,80,0,0,Offline TA/TO,Non Refund     ,Transient,1
294,148,18,2,0,0,0,95,0,0,Groups,Non Refund     ,Transient,1
295,82,16,2,0,0,0,80.75,0,0,Offline TA/TO,No Deposit     ,Transient,0
296,3,36,2,0,1,0,0,0,0,Groups,No Deposit     ,Transient-Party,0
297,4,12,3,0,0,0,149,0,0,Direct,No Deposit     ,Transient,0
298,303,34,3,0,0,0,78,0,1,Offline TA/TO,No Deposit     ,Transient-Party,0
299,68,8,2,1,0,0,75,0,0,Groups,Non Refund     ,Transient,1
300,6,53,2,0,0,0,126,0,0,Online TA,No Deposit     ,Transient,0
301,31,40,3,0,0,0,94,0,2,Online TA,No Deposit     ,Transient,0
302,213,35,3,0,1,0,104,0,0,Groups,No Deposit     ,Transient-Party,0
303,1,25,1,0,0,0,110,0,0,Aviation,No Deposit     ,Transient,0
304,99,44,2,0,0,0,65,0,0,Offline TA/TO,Non Refund     ,Transient,1
305,115,21,1,0,0,0,114.3,0,1,Online TA,No Deposit     ,Transient,0
306,131,27,1,0,1,0,121.5,1,1,Online TA,No Deposit     ,Transient,0
307,26,35,0,0,1,0,143.5,0,2,Online TA,No Deposit     ,Transient,0
308,118,16,4,0,0,0,90.95,0,1,Online TA,No Deposit     ,Transient,0
309,247,44,2,0,0,0,110,0,0,Groups,Non Refund     ,Transient,1
310,46,37,2,0,0,0,102,0,1,Online TA,No Deposit     ,Transient,0
311,139,19,3,0,0,0,99.45,0,2,Online TA,No Deposit     ,Transient,0
312,122,29,0,0,0,0,76.5,0,2,Online TA,No Deposit     ,Transient-Party,1
313,102,42,2,0,0,0,109,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
314,184,22,3,0,0,0,130,0,0,Groups,Non Refund     ,Transient,1
315,4,30,1,0,0,0,141,0,1,Online TA,No Deposit     ,Transient,0
316,63,12,2,0,0,0,75,0,0,Offline TA/TO,No Deposit     ,Transient,0
317,2,18,1,0,0,0,110,0,1,Corporate,No Deposit     ,Transient,0
318,21,36,1,0,0,0,95,0,0,Online TA,No Deposit     ,Transient,0
319,1,21,2,0,1,0,99,0,0,Offline TA/TO,No Deposit     ,Transient,0
320,1,23,2,0,1,0,119,0,1,Corporate,No Deposit     ,Transient-Party,0
321,6,10,5,0,0,0,70,0,0,Offline TA/TO,No Deposit     ,Transient,0
322,19,36,2,0,0,0,116,0,1,Online TA,No Deposit     ,Transient,1
323,34,32,2,0,0,0,62,0,0,Groups,No Deposit     ,Transient,0
324,6,39,1,0,0,0,77,0,0,Offline TA/TO,No Deposit     ,Transient,0
325,175,20,1,0,0,0,90,0,0,Groups,Non Refund     ,Transient,1
326,18,23,1,0,0,0,130,0,1,Online TA,No Deposit     ,Transient,1
327,40,11,2,0,0,0,82.1,0,1,Online TA,No Deposit     ,Transient-Party,0
328,46,1,0,0,0,0,65,0,0,Groups,No Deposit     ,Transient-Party,1
329,22,35,3,0,0,0,171,0,0,Online TA,No Deposit     ,Transient,1
330,433,38,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
331,104,18,4,0,3,0,104.55,0,0,Online TA,No Deposit     ,Transient,1
332,257,27,2,1,0,0,101.5,0,0,Offline TA/TO,No Deposit     ,Transient,1
333,135,35,5,0,0,0,272.5,0,1,Online TA,No Deposit     ,Transient,1
334,235,26,2,0,0,61,65,0,1,Groups,No Deposit     ,Transient-Party,0
335,0,8,1,0,0,0,93,0,0,Direct,No Deposit     ,Transient,0
336,464,44,2,0,2,391,65,0,0,Groups,Non Refund     ,Transient,1
337,56,28,1,0,0,0,133.33,0,0,Online TA,No Deposit     ,Transient,1
338,131,25,3,0,1,0,105.74,0,1,Online TA,No Deposit     ,Transient,0
339,227,44,3,0,0,0,77.35,0,0,Online TA,No Deposit     ,Transient,1
340,283,31,1,1,0,0,62,0,0,Groups,Non Refund     ,Contract,1
341,99,44,3,0,0,0,92.48,0,0,Online TA,No Deposit     ,Transient,1
342,156,17,3,0,0,0,100,0,0,Groups,Non Refund     ,Transient,1
343,11,19,2,0,0,0,110,0,1,Offline TA/TO,No Deposit     ,Group,0
344,75,38,2,0,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,1
345,106,48,3,0,0,0,117.3,0,2,Online TA,No Deposit     ,Transient,1
346,3,1,2,0,0,0,125.16,0,1,Online TA,No Deposit     ,Transient,0
347,398,33,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
348,10,10,2,0,0,0,102.43,0,1,Online TA,No Deposit     ,Transient,0
349,121,35,5,0,0,0,187,0,2,Direct,No Deposit     ,Transient,0
350,298,20,2,0,1,207,76,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
351,12,14,2,0,0,0,38.67,0,0,Offline TA/TO,No Deposit     ,Transient,1
352,12,8,3,0,0,0,129,0,1,Online TA,No Deposit     ,Transient-Party,0
353,3,11,3,0,0,0,118,0,0,Online TA,No Deposit     ,Transient,1
354,21,41,1,0,0,0,77,0,1,Offline TA/TO,No Deposit     ,Transient,0
355,1,51,1,0,1,0,88,0,2,Direct,No Deposit     ,Transient,0
356,45,2,4,0,0,0,88.4,0,0,Online TA,No Deposit     ,Transient,1
357,93,19,1,0,0,0,148.5,0,1,Direct,No Deposit     ,Transient,0
358,56,7,2,0,0,0,71.52,0,0,Online TA,No Deposit     ,Transient,0
359,0,5,1,0,1,0,6,0,0,Direct,No Deposit     ,Transient-Party,0
360,21,44,3,0,0,0,88,0,0,Online TA,No Deposit     ,Transient,1
361,189,17,3,0,0,0,90.09,0,1,Online TA,No Deposit     ,Transient,1
362,454,41,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
363,213,24,3,0,0,62,130,0,0,Offline TA/TO,Non Refund     ,Transient,1
364,81,28,3,0,0,0,108.9,0,1,Online TA,No Deposit     ,Transient,0
365,76,42,0,0,0,0,120,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
366,168,29,5,0,2,0,119.44,0,1,Online TA,No Deposit     ,Transient,0
367,41,25,2,0,0,0,140,0,1,Online TA,No Deposit     ,Transient,0
368,161,7,3,0,2,0,74.8,0,1,Online TA,No Deposit     ,Transient,1
369,1,41,2,0,0,0,139.33,0,0,Online TA,No Deposit     ,Transient,0
370,175,15,3,0,0,0,166.5,0,2,Online TA,No Deposit     ,Transient,1
371,5,43,2,0,0,0,90,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
372,322,21,3,0,0,120,80,0,0,Offline TA/TO,Non Refund     ,Transient,1
373,49,11,1,0,0,0,44.67,0,0,Offline TA/TO,No Deposit     ,Transient,0
374,54,3,3,0,0,0,65,0,0,Offline TA/TO,Non Refund     ,Transient,1
375,4,47,1,0,0,0,91,0,2,Online TA,No Deposit     ,Contract,0
376,201,30,1,0,0,0,148,0,1,Online TA,No Deposit     ,Transient,0
377,1,38,0,0,0,0,70,0,0,Direct,No Deposit     ,Transient,0
378,93,17,2,0,0,0,85,0,0,Offline TA/TO,No Deposit     ,Transient,0
379,28,36,2,0,0,0,90.25,0,1,Online TA,No Deposit     ,Contract,0
380,242,17,2,0,0,0,99,0,0,Direct,No Deposit     ,Transient,1
381,104,14,3,0,0,0,101.15,0,0,Online TA,No Deposit     ,Transient,0
382,71,20,3,0,0,0,98,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
383,40,41,3,0,0,0,99.71,0,2,Online TA,No Deposit     ,Transient,0
384,93,28,4,0,0,0,78.85,0,0,Direct,No Deposit     ,Transient,0
385,40,41,1,0,0,40,70,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
386,305,45,2,0,0,0,89,0,0,Offline TA/TO,Non Refund     ,Transient,1
387,80,44,2,0,0,0,160.65,0,1,Online TA,No Deposit     ,Transient,1
388,12,44,1,0,0,0,85.67,0,0,Groups,No Deposit     ,Transient-Party,0
389,39,49,2,0,0,0,65,0,0,Corporate,No Deposit     ,Transient-Party,0
390,75,20,1,0,0,0,90,0,0,Groups,No Deposit     ,Transient-Party,1
391,33,3,2,0,1,0,75,0,0,Groups,No Deposit     ,Transient-Party,0
392,77,33,3,0,1,0,200,0,2,Online TA,No Deposit     ,Transient,0
393,14,50,3,0,0,0,70.88,0,0,Online TA,No Deposit     ,Transient,0
394,37,42,3,0,0,0,105,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
395,3,39,3,0,0,0,110,0,0,Aviation,No Deposit     ,Transient,0
396,626,46,2,0,0,0,62.8,0,0,Groups,Non Refund     ,Transient,1
397,0,5,0,0,1,0,0,0,0,Direct,No Deposit     ,Transient,0
398,45,35,0,0,0,0,115,0,0,Groups,No Deposit     ,Transient-Party,0
399,15,23,2,0,0,0,130,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
400,14,18,4,0,0,0,165,0,1,Online TA,No Deposit     ,Transient,1
401,405,27,2,0,0,0,114.4,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
402,100,31,3,0,0,0,125,0,1,Online TA,No Deposit     ,Transient,0
403,0,10,1,0,0,0,109,0,0,Online TA,No Deposit     ,Transient,0
404,0,11,1,0,0,0,98,0,1,Online TA,No Deposit     ,Transient,0
405,33,44,4,0,2,0,12,0,2,Direct,No Deposit     ,Transient,0
406,32,41,5,0,0,0,171.13,0,2,Online TA,No Deposit     ,Transient,0
407,346,38,2,0,0,0,115,0,1,Offline TA/TO,No Deposit     ,Transient-Party,0
408,0,17,1,0,1,0,0,0,1,Complementary,No Deposit     ,Transient,0
409,104,36,1,0,0,0,90,0,0,Groups,Non Refund     ,Transient,1
410,153,25,4,0,0,0,110,0,0,Corporate,Non Refund     ,Transient,1
411,55,35,2,0,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,0
412,124,23,5,0,0,0,87.95,0,0,Online TA,No Deposit     ,Transient,0
413,9,50,3,0,0,0,96,1,0,Online TA,No Deposit     ,Contract,0
414,301,47,2,0,0,0,52,0,0,Offline TA/TO,Non Refund     ,Transient,1
415,114,27,2,0,0,0,75,0,0,Offline TA/TO,Non Refund     ,Transient,1
416,71,25,3,0,0,0,120,0,0,Offline TA/TO,Non Refund     ,Transient,1
417,114,30,5,0,0,0,191,0,0,Online TA,No Deposit     ,Transient,1
418,13,50,3,0,0,0,154,0,0,Online TA,No Deposit     ,Transient,1
419,84,33,4,0,0,0,215,0,3,Direct,No Deposit     ,Transient,0
420,37,47,3,0,1,0,97.4,1,1,Online TA,No Deposit     ,Transient,0
421,76,12,2,0,1,0,102.2,0,1,Online TA,No Deposit     ,Transient,0
422,23,31,2,0,0,0,154,0,0,Online TA,No Deposit     ,Transient,1
423,64,14,3,0,0,0,115.6,0,2,Online TA,No Deposit     ,Transient,1
424,24,6,5,0,1,0,75,0,0,Groups,No Deposit     ,Transient-Party,0
425,76,26,1,0,0,0,126.9,0,2,Online TA,No Deposit     ,Transient,0
426,1,7,3,0,1,0,104,0,0,Online TA,No Deposit     ,Transient,0
427,95,48,0,0,0,0,90,0,2,Online TA,No Deposit     ,Transient,1
428,0,21,2,0,0,0,185,0,0,Direct,No Deposit     ,Transient,0
429,3,34,2,0,0,0,117.33,0,0,Online TA,No Deposit     ,Contract,0
430,4,49,2,0,0,0,57.75,0,0,Online TA,No Deposit     ,Transient,0
431,226,33,5,0,0,0,90.95,0,1,Online TA,No Deposit     ,Transient,0
432,100,42,1,0,0,0,108,0,0,Offline TA/TO,Non Refund     ,Transient,1
433,215,48,1,0,1,0,75,0,0,Groups,No Deposit     ,Transient,0
434,47,17,1,0,0,0,85.5,0,0,Online TA,No Deposit     ,Transient,1
435,6,25,1,0,0,0,108,0,0,Offline TA/TO,No Deposit     ,Transient,0
436,177,28,1,0,0,0,96,0,1,Groups,No Deposit     ,Transient-Party,0
437,162,29,4,0,0,0,75.65,0,1,Offline TA/TO,No Deposit     ,Transient,0
438,232,37,3,0,0,0,100.3,0,0,Online TA,No Deposit     ,Transient,1
439,25,38,0,0,0,0,108,0,2,Online TA,No Deposit     ,Transient-Party,0
440,74,38,2,0,0,0,101.5,0,0,Offline TA/TO,Non Refund     ,Transient-Party,1
441,37,16,1,0,0,0,105.3,0,0,Online TA,No Deposit     ,Transient,1
442,169,18,1,0,0,0,117,0,0,Online TA,No Deposit     ,Transient,1
443,93,42,1,0,0,0,115,0,0,Offline TA/TO,Non Refund     ,Transient,1
444,220,23,1,0,0,0,73.33,0,1,Groups,No Deposit     ,Transient-Party,0
445,4,51,1,0,0,0,154.5,0,0,Online TA,No Deposit     ,Transient,1
446,302,22,1,0,0,0,109.8,0,0,Online TA,No Deposit     ,Transient,1
447,50,36,2,0,0,0,142.2,0,0,Online TA,No Deposit     ,Transient,1
448,126,16,3,0,0,39,65,0,0,Groups,Non Refund     ,Transient,1
449,89,40,2,0,0,0,62,0,0,Groups,Non Refund     ,Transient,1
450,99,18,6,0,0,0,139.5,0,0,Online TA,No Deposit     ,Transient,1
451,53,53,3,0,0,0,194.4,0,3,Online TA,No Deposit     ,Transient,0
452,184,31,5,0,0,0,175.5,0,1,Online TA,No Deposit     ,Transient,1
453,71,6,3,0,0,0,147.9,0,0,Online TA,No Deposit     ,Transient,1
454,131,33,1,0,0,0,94.5,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
455,133,9,2,0,1,0,93.6,0,2,Online TA,No Deposit     ,Transient,0
456,170,16,3,0,0,0,99,0,3,Offline TA/TO,No Deposit     ,Transient,0
457,6,1,3,0,0,0,173.8,0,0,Online TA,No Deposit     ,Transient,0
458,56,5,3,0,0,0,60,0,0,Groups,Non Refund     ,Transient,1
459,443,18,1,0,0,0,65,0,0,Offline TA/TO,Non Refund     ,Transient,1
460,150,24,3,0,0,0,120,0,0,Offline TA/TO,Non Refund     ,Transient,1
461,129,22,2,0,0,0,130,0,0,Groups,Non Refund     ,Transient,1
462,22,19,7,0,0,0,204,0,0,Online TA,No Deposit     ,Transient,1
463,170,32,2,0,0,0,105.3,0,0,Online TA,No Deposit     ,Transient-Party,0
464,101,34,1,0,0,0,220.65,1,0,Direct,No Deposit     ,Transient,0
465,71,21,1,0,0,0,162,0,1,Online TA,No Deposit     ,Transient,0
466,1,5,1,0,0,0,80,0,1,Online TA,No Deposit     ,Transient,0
467,365,42,1,1,0,0,62.8,0,0,Groups,Non Refund     ,Transient,1
468,135,32,3,0,0,0,155,0,1,Online TA,No Deposit     ,Transient,0
469,31,25,5,0,0,0,96.3,0,0,Offline TA/TO,No Deposit     ,Transient,0
470,28,27,1,1,0,0,114.33,0,0,Corporate,No Deposit     ,Transient,0
471,29,10,3,0,0,0,101.52,0,2,Online TA,No Deposit     ,Transient,0
472,99,44,2,0,0,0,65,0,0,Offline TA/TO,Non Refund     ,Transient,1
473,54,17,4,0,2,0,148.75,0,3,Online TA,No Deposit     ,Transient,0
474,33,46,1,1,0,0,88,1,1,Corporate,No Deposit     ,Transient,0
475,7,48,2,0,0,0,86.12,0,2,Online TA,No Deposit     ,Transient,0
476,99,8,1,1,0,0,80,0,0,Corporate,No Deposit     ,Transient-Party,1
477,2,25,1,0,0,0,150,0,0,Direct,No Deposit     ,Group,0
478,242,7,3,0,1,0,99.2,0,0,Online TA,No Deposit     ,Transient,0
479,166,15,2,0,2,0,114,0,1,Online TA,No Deposit     ,Transient,1
480,154,29,1,0,0,0,111.3,0,1,Online TA,No Deposit     ,Transient,0
481,59,44,2,0,0,0,85,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
482,14,36,1,0,1,0,124,0,1,Online TA,No Deposit     ,Transient,0
483,273,21,3,0,1,0,108.95,0,2,Online TA,No Deposit     ,Transient,1
484,305,45,2,0,0,0,89,0,0,Offline TA/TO,Non Refund     ,Transient,1
485,433,38,1,0,0,0,59,0,0,Groups,Non Refund     ,Transient,1
486,148,37,2,0,0,0,93.5,0,1,Online TA,No Deposit     ,Transient-Party,0
487,290,49,3,0,0,0,73.95,0,0,Online TA,No Deposit     ,Transient,1
488,219,25,5,0,0,0,109.8,0,0,Online TA,No Deposit     ,Transient,1
489,11,45,1,0,0,0,150,0,1,Online TA,No Deposit     ,Transient,1
490,215,26,4,0,0,0,110,0,0,Groups,Non Refund     ,Transient,1
491,57,24,1,0,2,0,86,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
492,39,33,2,0,0,0,101.5,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
493,17,10,1,0,0,0,108,0,0,Online TA,No Deposit     ,Transient,0
494,80,41,2,0,0,50,136,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
495,7,4,0,0,0,0,98,0,1,Online TA,No Deposit     ,Transient,0
496,87,53,3,0,2,0,93.93,0,0,Direct,No Deposit     ,Transient,0
497,164,40,2,0,0,0,100,0,0,Offline TA/TO,No Deposit     ,Transient-Party,0
498,124,32,1,0,0,0,94.5,0,0,Offline TA/TO,No Deposit     ,Transient-Party,1
499,42,49,4,0,0,0,48.5,0,1,Online TA,No Deposit     ,Transient,0
500,29,23,3,0,0,0,156.67,0,1,Online TA,No Deposit     ,Transient,0
501,16,29,2,0,0,0,180.5,0,0,Online TA,No Deposit     ,Transient,1
502,14,21,1,0,0,0,160,0,3,Online TA,No Deposit     ,Transient,0
503,15,43,2,0,1,0,180,0,2,Online TA,No Deposit     ,Transient,0
504,524,51,2,0,0,0,62.8,0,0,Groups,Non Refund     ,Transient,1
505,10,8,5,0,0,0,102,0,0,Online TA,No Deposit     ,Transient,0
506,300,33,2,1,0,0,62,0,0,Groups,Non Refund     ,Contract,1
507,50,11,2,0,0,0,63.75,0,0,Online TA,No Deposit     ,Transient,1
508,20,38,2,0,0,0,105,0,1,Online TA,No Deposit     ,Contract,0
509,323,36,2,1,0,0,62,0,0,Groups,No Deposit     ,Transient-Party,1
510,141,13,2,0,0,0,105.34,0,2,Online TA,No Deposit     ,Transient,0
511,34,42,2,0,0,0,82.8,0,0,Offline TA/TO,No Deposit     ,Contract,0
512,0,33,0,0,2,0,98,0,1,Online TA,No Deposit     ,Transient,0
513,9,18,2,0,0,0,100,0,0,Groups,No Deposit     ,Transient-Party,0
514,12,4,2,0,0,0,75,0,0,Online TA,No Deposit     ,Transient,1
515,89,50,1,0,0,0,96,0,2,Online TA,No Deposit     ,Transient,0
516,102,32,2,0,0,0,183,0,1,Online TA,No Deposit     ,Transient,1
517,304,34,1,1,0,0,62,0,0,Groups,Non Refund     ,Transient-Party,1
518,12,42,3,0,1,0,100,0,0,Corporate,No Deposit     ,Transient-Party,0
519,151,19,2,0,0,0,95,0,0,Groups,Non Refund     ,Transient,1
520,70,48,1,0,0,0,114,0,1,Online TA,No Deposit     ,Transient,1
521,32,42,0,0,1,0,95,0,0,Corporate,No Deposit     ,Transient,0
522,98,48,2,0,0,0,70,0,0,Groups,No Deposit     ,Transient-Party,0
523,258,10,4,0,0,0,85,0,0,Online TA,No Deposit     ,Transient,1
524,99,8,1,0,0,0,81,0,0,Corporate,No Deposit     ,Transient,0
525,61,34,3,0,0,0,242,1,1,Direct,No Deposit     ,Transient,0
526,6,11,3,0,0,0,90,0,0,Groups,No Deposit     ,Transient,0
527,18,12,2,0,0,0,97,0,0,Online TA,No Deposit     ,Transient,1
528,76,14,3,0,1,0,80.1,0,0,Online TA,No Deposit     ,Transient,1
529,177,28,1,0,0,0,96,0,0,Groups,No Deposit     ,Transient-Party,0
530,0,36,2,0,1,0,95.5,0,0,Corporate,No Deposit     ,Transient,0
531,156,17,3,0,0,0,100,0,0,Groups,Non Refund     ,Transient,1
532,0,21,0,0,0,0,0,0,0,Offline TA/TO,No Deposit     ,Transient,0
533,113,52,1,0,0,0,121.75,0,1,Direct,No Deposit     ,Transient,1
534,0,48,1,0,0,0,77.25,0,2,Online TA,No Deposit     ,Transient,0
535,3,1,0,0,0,0,146.5,1,2,Direct,No Deposit     ,Transient,0
536,83,37,0,0,0,0,101.15,0,1,Offline TA/TO,No Deposit     ,Transient,0
537,99,18,3,0,0,0,105,0,0,Direct,No Deposit     ,Transient,1
